series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	pancreatic_cancer_control	pancreatic_cancer	sample_class
1080	4	49668	GSM356796	GPL570	GSE14245		pancreatic_cancer	1
1080	4	49669	GSM356797	GPL570	GSE14245		pancreatic_cancer	1
1080	4	49670	GSM356798	GPL570	GSE14245		pancreatic_cancer	1
1080	4	49671	GSM356799	GPL570	GSE14245		pancreatic_cancer	1
1080	4	49672	GSM356800	GPL570	GSE14245		pancreatic_cancer	1
1080	4	49673	GSM356801	GPL570	GSE14245		pancreatic_cancer	1
1080	4	49674	GSM356802	GPL570	GSE14245		pancreatic_cancer	1
1080	4	49675	GSM356803	GPL570	GSE14245		pancreatic_cancer	1
1080	4	49676	GSM356804	GPL570	GSE14245		pancreatic_cancer	1
1080	4	49677	GSM356805	GPL570	GSE14245		pancreatic_cancer	1
1080	4	49678	GSM356806	GPL570	GSE14245		pancreatic_cancer	1
1080	4	49679	GSM356807	GPL570	GSE14245		pancreatic_cancer	1
1080	4	49680	GSM356808	GPL570	GSE14245	pancreatic_cancer_control		0
1080	4	49681	GSM356809	GPL570	GSE14245	pancreatic_cancer_control		0
1080	4	49682	GSM356810	GPL570	GSE14245	pancreatic_cancer_control		0
1080	4	49683	GSM356811	GPL570	GSE14245	pancreatic_cancer_control		0
1080	4	49684	GSM356812	GPL570	GSE14245	pancreatic_cancer_control		0
1080	4	49685	GSM356813	GPL570	GSE14245	pancreatic_cancer_control		0
1080	4	49686	GSM356814	GPL570	GSE14245	pancreatic_cancer_control		0
1080	4	49687	GSM356815	GPL570	GSE14245	pancreatic_cancer_control		0
1080	4	49688	GSM356816	GPL570	GSE14245	pancreatic_cancer_control		0
1080	4	49689	GSM356817	GPL570	GSE14245	pancreatic_cancer_control		0
1080	4	49690	GSM356818	GPL570	GSE14245	pancreatic_cancer_control		0
1080	4	49691	GSM356819	GPL570	GSE14245	pancreatic_cancer_control		0
1550	4	68119	GSM399666	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68120	GSM399667	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68121	GSM399669	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68122	GSM399676	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68123	GSM399679	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68124	GSM399682	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68125	GSM399685	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68126	GSM399689	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68135	GSM399709	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68136	GSM399710	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68137	GSM399711	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68138	GSM399712	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68139	GSM399713	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68140	GSM399714	GPL570	GSE15932		pancreatic_cancer	1
