series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	breast_tissue_control	breast_cancer	breast_cancer_control	or	sample_class
206	4	8130	GSM272133	GPL570	GSE10780	breast_tissue_control				0
206	4	8131	GSM272134	GPL570	GSE10780	breast_tissue_control				0
206	4	8132	GSM272135	GPL570	GSE10780	breast_tissue_control				0
206	4	8133	GSM272136	GPL570	GSE10780	breast_tissue_control				0
206	4	8134	GSM272137	GPL570	GSE10780	breast_tissue_control				0
206	4	8135	GSM272138	GPL570	GSE10780	breast_tissue_control				0
206	4	8136	GSM272139	GPL570	GSE10780	breast_tissue_control				0
206	4	8137	GSM272140	GPL570	GSE10780	breast_tissue_control				0
206	4	8138	GSM272141	GPL570	GSE10780	breast_tissue_control				0
206	4	8139	GSM272142	GPL570	GSE10780	breast_tissue_control				0
206	4	8140	GSM272143	GPL570	GSE10780	breast_tissue_control				0
206	4	8141	GSM272144	GPL570	GSE10780	breast_tissue_control				0
206	4	8142	GSM272145	GPL570	GSE10780	breast_tissue_control				0
206	4	8143	GSM272146	GPL570	GSE10780	breast_tissue_control				0
206	4	8144	GSM272147	GPL570	GSE10780	breast_tissue_control				0
206	4	8145	GSM272148	GPL570	GSE10780	breast_tissue_control				0
206	4	8146	GSM272149	GPL570	GSE10780	breast_tissue_control				0
206	4	8147	GSM272150	GPL570	GSE10780	breast_tissue_control				0
206	4	8148	GSM272151	GPL570	GSE10780	breast_tissue_control				0
206	4	8149	GSM272152	GPL570	GSE10780	breast_tissue_control				0
206	4	8150	GSM272153	GPL570	GSE10780		breast_cancer			1
206	4	8151	GSM272154	GPL570	GSE10780	breast_tissue_control				0
206	4	8152	GSM272155	GPL570	GSE10780	breast_tissue_control				0
206	4	8153	GSM272156	GPL570	GSE10780	breast_tissue_control				0
206	4	8154	GSM272157	GPL570	GSE10780	breast_tissue_control				0
206	4	8155	GSM272158	GPL570	GSE10780	breast_tissue_control				0
206	4	8156	GSM272159	GPL570	GSE10780	breast_tissue_control				0
206	4	8157	GSM272160	GPL570	GSE10780	breast_tissue_control				0
206	4	8158	GSM272161	GPL570	GSE10780	breast_tissue_control				0
206	4	8159	GSM272162	GPL570	GSE10780	breast_tissue_control				0
206	4	8160	GSM272163	GPL570	GSE10780	breast_tissue_control				0
206	4	8161	GSM272164	GPL570	GSE10780	breast_tissue_control				0
206	4	8162	GSM272165	GPL570	GSE10780		breast_cancer			1
206	4	8163	GSM272166	GPL570	GSE10780		breast_cancer			1
206	4	8164	GSM272167	GPL570	GSE10780		breast_cancer			1
206	4	8165	GSM272168	GPL570	GSE10780	breast_tissue_control				0
206	4	8166	GSM272169	GPL570	GSE10780	breast_tissue_control				0
206	4	8167	GSM272170	GPL570	GSE10780	breast_tissue_control				0
206	4	8168	GSM272171	GPL570	GSE10780	breast_tissue_control				0
206	4	8169	GSM272172	GPL570	GSE10780	breast_tissue_control				0
206	4	8170	GSM272173	GPL570	GSE10780		breast_cancer			1
206	4	8171	GSM272174	GPL570	GSE10780	breast_tissue_control				0
206	4	8172	GSM272175	GPL570	GSE10780	breast_tissue_control				0
206	4	8173	GSM272176	GPL570	GSE10780	breast_tissue_control				0
206	4	8174	GSM272177	GPL570	GSE10780	breast_tissue_control				0
206	4	8175	GSM272178	GPL570	GSE10780		breast_cancer			1
206	4	8176	GSM272179	GPL570	GSE10780		breast_cancer			1
206	4	8177	GSM272180	GPL570	GSE10780	breast_tissue_control				0
206	4	8178	GSM272181	GPL570	GSE10780	breast_tissue_control				0
206	4	8179	GSM272182	GPL570	GSE10780	breast_tissue_control				0
206	4	8180	GSM272183	GPL570	GSE10780	breast_tissue_control				0
206	4	8181	GSM272184	GPL570	GSE10780		breast_cancer			1
206	4	8182	GSM272185	GPL570	GSE10780		breast_cancer			1
206	4	8183	GSM272186	GPL570	GSE10780		breast_cancer			1
206	4	8184	GSM272187	GPL570	GSE10780		breast_cancer			1
206	4	8185	GSM272188	GPL570	GSE10780		breast_cancer			1
206	4	8186	GSM272189	GPL570	GSE10780		breast_cancer			1
206	4	8187	GSM272190	GPL570	GSE10780	breast_tissue_control				0
206	4	8188	GSM272191	GPL570	GSE10780	breast_tissue_control				0
206	4	8189	GSM272192	GPL570	GSE10780	breast_tissue_control				0
206	4	8190	GSM272193	GPL570	GSE10780	breast_tissue_control				0
206	4	8191	GSM272194	GPL570	GSE10780	breast_tissue_control				0
206	4	8192	GSM272195	GPL570	GSE10780	breast_tissue_control				0
206	4	8193	GSM272196	GPL570	GSE10780	breast_tissue_control				0
206	4	8194	GSM272197	GPL570	GSE10780	breast_tissue_control				0
206	4	8195	GSM272198	GPL570	GSE10780	breast_tissue_control				0
206	4	8196	GSM272199	GPL570	GSE10780	breast_tissue_control				0
206	4	8197	GSM272200	GPL570	GSE10780		breast_cancer			1
206	4	8198	GSM272201	GPL570	GSE10780	breast_tissue_control				0
206	4	8199	GSM272202	GPL570	GSE10780	breast_tissue_control				0
206	4	8200	GSM272203	GPL570	GSE10780		breast_cancer			1
206	4	8201	GSM272204	GPL570	GSE10780	breast_tissue_control				0
206	4	8202	GSM272205	GPL570	GSE10780	breast_tissue_control				0
206	4	8203	GSM272206	GPL570	GSE10780	breast_tissue_control				0
206	4	8204	GSM272207	GPL570	GSE10780	breast_tissue_control				0
206	4	8205	GSM272208	GPL570	GSE10780	breast_tissue_control				0
206	4	8206	GSM272209	GPL570	GSE10780		breast_cancer			1
206	4	8207	GSM272210	GPL570	GSE10780	breast_tissue_control				0
206	4	8208	GSM272211	GPL570	GSE10780		breast_cancer			1
206	4	8209	GSM272212	GPL570	GSE10780	breast_tissue_control				0
206	4	8210	GSM272213	GPL570	GSE10780		breast_cancer			1
206	4	8211	GSM272214	GPL570	GSE10780	breast_tissue_control				0
206	4	8212	GSM272215	GPL570	GSE10780	breast_tissue_control				0
206	4	8213	GSM272216	GPL570	GSE10780		breast_cancer			1
