series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	ankylosing_spondylitis_control	ankylosing_spondylitis	sample_class
479	4	20576	GSM300389	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20577	GSM300390	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20578	GSM300391	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20579	GSM300392	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20580	GSM300393	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20581	GSM300394	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20582	GSM300395	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20583	GSM300396	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20584	GSM300397	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20585	GSM300398	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20586	GSM300399	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20587	GSM300400	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20588	GSM300401	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20589	GSM300402	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20590	GSM300403	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20591	GSM300404	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20592	GSM300405	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20593	GSM300406	GPL570	GSE11886	ankylosing_spondylitis_control		0
479	4	20594	GSM300407	GPL570	GSE11886		ankylosing_spondylitis	1
479	4	20595	GSM300408	GPL570	GSE11886		ankylosing_spondylitis	1
479	4	20596	GSM300409	GPL570	GSE11886		ankylosing_spondylitis	1
479	4	20597	GSM300410	GPL570	GSE11886		ankylosing_spondylitis	1
479	4	20598	GSM300411	GPL570	GSE11886		ankylosing_spondylitis	1
479	4	20599	GSM300412	GPL570	GSE11886		ankylosing_spondylitis	1
479	4	20600	GSM300413	GPL570	GSE11886		ankylosing_spondylitis	1
479	4	20601	GSM300414	GPL570	GSE11886		ankylosing_spondylitis	1
479	4	20602	GSM300415	GPL570	GSE11886		ankylosing_spondylitis	1
479	4	20603	GSM300416	GPL570	GSE11886		ankylosing_spondylitis	1
479	4	20604	GSM300417	GPL570	GSE11886		ankylosing_spondylitis	1
479	4	20605	GSM300418	GPL570	GSE11886		ankylosing_spondylitis	1
479	4	20606	GSM300419	GPL570	GSE11886		ankylosing_spondylitis	1
479	4	20607	GSM300420	GPL570	GSE11886		ankylosing_spondylitis	1
479	4	20608	GSM300421	GPL570	GSE11886		ankylosing_spondylitis	1
3902	389	161279	GSM616668	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161280	GSM616669	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161281	GSM616670	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161282	GSM616671	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161283	GSM616672	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161284	GSM616673	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161285	GSM616674	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161286	GSM616675	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161287	GSM616676	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161288	GSM616677	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161289	GSM616678	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161290	GSM616679	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161291	GSM616680	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161292	GSM616681	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161293	GSM616682	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161294	GSM616683	GPL6947	GSE25101		ankylosing_spondylitis	1
3902	389	161295	GSM616684	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161296	GSM616685	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161297	GSM616686	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161298	GSM616687	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161299	GSM616688	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161300	GSM616689	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161301	GSM616690	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161302	GSM616691	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161303	GSM616692	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161304	GSM616693	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161305	GSM616694	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161306	GSM616695	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161307	GSM616696	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161308	GSM616697	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161309	GSM616698	GPL6947	GSE25101	ankylosing_spondylitis_control		0
3902	389	161310	GSM616699	GPL6947	GSE25101	ankylosing_spondylitis_control		0
