series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	systemic_scleroderma	systemic_scleroderma_control	sample_class
7181	1119	287573	GSM88759	GPL3038	GSE3886		systemic_scleroderma_control	0
7181	1119	287574	GSM88762	GPL3038	GSE3886	systemic_scleroderma		1
7181	1119	287575	GSM88765	GPL3038	GSE3886	systemic_scleroderma		1
7181	1119	287576	GSM88767	GPL3038	GSE3886	systemic_scleroderma		1
7181	1119	287577	GSM88768	GPL3038	GSE3886		systemic_scleroderma_control	0
7181	1119	287578	GSM88769	GPL3038	GSE3886	systemic_scleroderma		1
7181	1119	287579	GSM88770	GPL3038	GSE3886	systemic_scleroderma		1
7181	1119	287580	GSM88771	GPL3038	GSE3886	systemic_scleroderma		1
7181	1119	287581	GSM88772	GPL3038	GSE3886	systemic_scleroderma		1
7181	1119	287582	GSM88773	GPL3038	GSE3886		systemic_scleroderma_control	0
8361	1119	329486	GSM88759	GPL3038	GSE4385		systemic_scleroderma_control	0
8361	1119	329487	GSM88762	GPL3038	GSE4385	systemic_scleroderma		1
8361	1119	329488	GSM88765	GPL3038	GSE4385	systemic_scleroderma		1
8361	1119	329489	GSM88767	GPL3038	GSE4385	systemic_scleroderma		1
8361	1119	329490	GSM88768	GPL3038	GSE4385		systemic_scleroderma_control	0
8361	1119	329491	GSM88769	GPL3038	GSE4385	systemic_scleroderma		1
8361	1119	329492	GSM88770	GPL3038	GSE4385	systemic_scleroderma		1
8361	1119	329493	GSM88771	GPL3038	GSE4385	systemic_scleroderma		1
8361	1119	329494	GSM88772	GPL3038	GSE4385	systemic_scleroderma		1
8361	1119	329495	GSM88773	GPL3038	GSE4385		systemic_scleroderma_control	0
8688	4	339594	GSM1108150	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339595	GSM1108151	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339596	GSM1108152	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339597	GSM1108153	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339598	GSM1108154	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339599	GSM1108155	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339600	GSM1108156	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339601	GSM1108157	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339602	GSM1108158	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339603	GSM1108159	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339604	GSM1108160	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339605	GSM1108161	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339606	GSM1108162	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339607	GSM1108163	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339608	GSM1108164	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339609	GSM1108165	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339610	GSM1108166	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339611	GSM1108167	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339612	GSM1108168	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339613	GSM1108169	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339614	GSM1108170	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339615	GSM1108171	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339616	GSM1108172	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339617	GSM1108173	GPL570	GSE45536		systemic_scleroderma_control	0
8688	4	339618	GSM1108174	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339619	GSM1108175	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339620	GSM1108176	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339621	GSM1108177	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339622	GSM1108178	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339623	GSM1108179	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339624	GSM1108180	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339625	GSM1108181	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339626	GSM1108182	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339627	GSM1108183	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339628	GSM1108184	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339629	GSM1108185	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339630	GSM1108186	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339631	GSM1108187	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339632	GSM1108188	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339633	GSM1108189	GPL570	GSE45536	systemic_scleroderma		1
8688	4	339634	GSM1108190	GPL570	GSE45536	systemic_scleroderma		1
