series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	ovarian_cancer_control	ovarian_cancer	sample_class
4918	4	198810	GSM722641	GPL570	GSE29220		ovarian_cancer	1
4918	4	198811	GSM722642	GPL570	GSE29220		ovarian_cancer	1
4918	4	198812	GSM722643	GPL570	GSE29220		ovarian_cancer	1
4918	4	198813	GSM722644	GPL570	GSE29220		ovarian_cancer	1
4918	4	198814	GSM722645	GPL570	GSE29220		ovarian_cancer	1
4918	4	198815	GSM722646	GPL570	GSE29220		ovarian_cancer	1
4918	4	198816	GSM722647	GPL570	GSE29220		ovarian_cancer	1
4918	4	198817	GSM722648	GPL570	GSE29220		ovarian_cancer	1
4918	4	198818	GSM722649	GPL570	GSE29220		ovarian_cancer	1
4918	4	198819	GSM722650	GPL570	GSE29220		ovarian_cancer	1
4918	4	198820	GSM722651	GPL570	GSE29220		ovarian_cancer	1
4918	4	198821	GSM722652	GPL570	GSE29220	ovarian_cancer_control		0
4918	4	198822	GSM722653	GPL570	GSE29220	ovarian_cancer_control		0
4918	4	198823	GSM722654	GPL570	GSE29220	ovarian_cancer_control		0
4918	4	198824	GSM722655	GPL570	GSE29220	ovarian_cancer_control		0
4918	4	198825	GSM722656	GPL570	GSE29220	ovarian_cancer_control		0
4918	4	198826	GSM722657	GPL570	GSE29220	ovarian_cancer_control		0
4918	4	198827	GSM722658	GPL570	GSE29220	ovarian_cancer_control		0
4918	4	198828	GSM722659	GPL570	GSE29220	ovarian_cancer_control		0
4918	4	198829	GSM722660	GPL570	GSE29220	ovarian_cancer_control		0
4918	4	198830	GSM722661	GPL570	GSE29220	ovarian_cancer_control		0
4918	4	198831	GSM722662	GPL570	GSE29220	ovarian_cancer_control		0
5516	60	223361	GSM786413	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223362	GSM786414	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223363	GSM786415	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223364	GSM786416	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223365	GSM786417	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223366	GSM786418	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223367	GSM786419	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223368	GSM786420	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223369	GSM786421	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223370	GSM786422	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223371	GSM786423	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223372	GSM786424	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223373	GSM786425	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223374	GSM786426	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223375	GSM786427	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223376	GSM786428	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223377	GSM786429	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223378	GSM786430	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223379	GSM786431	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223380	GSM786432	GPL2986	GSE31682	ovarian_cancer_control		0
5516	60	223381	GSM786433	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223382	GSM786434	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223383	GSM786435	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223384	GSM786436	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223385	GSM786437	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223386	GSM786438	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223387	GSM786439	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223388	GSM786440	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223389	GSM786441	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223390	GSM786442	GPL2986	GSE31682		ovarian_cancer	1
