series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	narcolepsy_control	narcolepsy	sample_class
2972	9	122444	GSM539022	GPL571	GSE21592	narcolepsy_control		0
2972	9	122445	GSM539023	GPL571	GSE21592	narcolepsy_control		0
2972	9	122446	GSM539024	GPL571	GSE21592	narcolepsy_control		0
2972	9	122447	GSM539025	GPL571	GSE21592	narcolepsy_control		0
2972	9	122448	GSM539026	GPL571	GSE21592	narcolepsy_control		0
2972	9	122449	GSM539027	GPL571	GSE21592	narcolepsy_control		0
2972	9	122450	GSM539028	GPL571	GSE21592	narcolepsy_control		0
2972	9	122451	GSM539029	GPL571	GSE21592	narcolepsy_control		0
2972	9	122452	GSM539030	GPL571	GSE21592	narcolepsy_control		0
2972	9	122453	GSM539031	GPL571	GSE21592	narcolepsy_control		0
2972	9	122454	GSM539032	GPL571	GSE21592		narcolepsy	1
2972	9	122455	GSM539033	GPL571	GSE21592		narcolepsy	1
2972	9	122456	GSM539034	GPL571	GSE21592		narcolepsy	1
2972	9	122457	GSM539035	GPL571	GSE21592		narcolepsy	1
2972	9	122458	GSM539036	GPL571	GSE21592		narcolepsy	1
2972	9	122459	GSM539037	GPL571	GSE21592		narcolepsy	1
2972	9	122460	GSM539038	GPL571	GSE21592		narcolepsy	1
2972	9	122461	GSM539039	GPL571	GSE21592		narcolepsy	1
2972	9	122462	GSM539040	GPL571	GSE21592		narcolepsy	1
2972	9	122463	GSM539041	GPL571	GSE21592		narcolepsy	1
