series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	obesity_control	obesity	sample_class
521	332	23264	GSM304445	GPL7034	GSE12050	obesity_control		0
521	332	23265	GSM304446	GPL7034	GSE12050	obesity_control		0
521	332	23266	GSM304447	GPL7034	GSE12050	obesity_control		0
521	332	23267	GSM304448	GPL7034	GSE12050	obesity_control		0
521	332	23268	GSM304449	GPL7034	GSE12050	obesity_control		0
521	332	23269	GSM304450	GPL7034	GSE12050	obesity_control		0
521	332	23270	GSM304451	GPL7034	GSE12050	obesity_control		0
521	332	23271	GSM304452	GPL7034	GSE12050	obesity_control		0
521	332	23272	GSM304453	GPL7034	GSE12050	obesity_control		0
521	332	23273	GSM304637	GPL7034	GSE12050	obesity_control		0
521	332	23274	GSM304638	GPL7034	GSE12050	obesity_control		0
521	332	23275	GSM304639	GPL7034	GSE12050	obesity_control		0
521	332	23276	GSM304640	GPL7034	GSE12050	obesity_control		0
521	332	23277	GSM304641	GPL7034	GSE12050	obesity_control		0
521	332	23278	GSM304642	GPL7034	GSE12050	obesity_control		0
521	332	23279	GSM304643	GPL7034	GSE12050	obesity_control		0
521	332	23280	GSM304644	GPL7034	GSE12050	obesity_control		0
521	332	23281	GSM304645	GPL7034	GSE12050	obesity_control		0
521	332	23282	GSM304753	GPL7034	GSE12050		obesity	1
521	332	23283	GSM304754	GPL7034	GSE12050		obesity	1
521	332	23284	GSM304755	GPL7034	GSE12050		obesity	1
521	332	23285	GSM304756	GPL7034	GSE12050		obesity	1
521	332	23286	GSM304757	GPL7034	GSE12050		obesity	1
521	332	23287	GSM304758	GPL7034	GSE12050		obesity	1
521	332	23288	GSM304759	GPL7034	GSE12050		obesity	1
521	332	23289	GSM304760	GPL7034	GSE12050		obesity	1
521	332	23290	GSM304761	GPL7034	GSE12050		obesity	1
1461	500	65700	GSM388904	GPL4044	GSE15524	obesity_control		0
1461	500	65701	GSM388905	GPL4044	GSE15524	obesity_control		0
1461	500	65702	GSM388906	GPL4044	GSE15524		obesity	1
1461	500	65703	GSM388907	GPL4044	GSE15524		obesity	1
1461	500	65704	GSM388908	GPL4044	GSE15524		obesity	1
1461	500	65705	GSM388909	GPL4044	GSE15524		obesity	1
1461	500	65706	GSM388910	GPL4044	GSE15524		obesity	1
1461	500	65707	GSM388911	GPL4044	GSE15524		obesity	1
1461	500	65708	GSM388912	GPL4044	GSE15524		obesity	1
1461	500	65709	GSM388913	GPL4044	GSE15524		obesity	1
1461	500	65710	GSM388914	GPL4044	GSE15524		obesity	1
1461	500	65711	GSM388915	GPL4044	GSE15524		obesity	1
1461	500	65712	GSM388916	GPL4044	GSE15524		obesity	1
1461	500	65713	GSM388917	GPL4044	GSE15524	obesity_control		0
1461	500	65714	GSM388918	GPL4044	GSE15524	obesity_control		0
1461	500	65715	GSM388919	GPL4044	GSE15524	obesity_control		0
1461	500	65716	GSM388920	GPL4044	GSE15524		obesity	1
1461	500	65717	GSM388921	GPL4044	GSE15524		obesity	1
1461	500	65718	GSM388922	GPL4044	GSE15524		obesity	1
1461	500	65719	GSM388923	GPL4044	GSE15524		obesity	1
1461	500	65720	GSM388924	GPL4044	GSE15524		obesity	1
1461	500	65721	GSM388925	GPL4044	GSE15524		obesity	1
1461	500	65722	GSM388926	GPL4044	GSE15524		obesity	1
1461	500	65723	GSM388927	GPL4044	GSE15524		obesity	1
1461	500	65724	GSM388928	GPL4044	GSE15524		obesity	1
1461	500	65725	GSM388929	GPL4044	GSE15524		obesity	1
1461	500	65726	GSM388930	GPL4044	GSE15524	obesity_control		0
1461	500	65727	GSM388931	GPL4044	GSE15524	obesity_control		0
