series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	sclc	or	pac	lung_cancer	lung_cancer_control	lung_tissue_control	nsclc	sample_class
2533	4	102205	GSM494556	GPL570	GSE19804				lung_cancer				1
2533	4	102206	GSM494557	GPL570	GSE19804				lung_cancer				1
2533	4	102207	GSM494558	GPL570	GSE19804				lung_cancer				1
2533	4	102208	GSM494559	GPL570	GSE19804				lung_cancer				1
2533	4	102209	GSM494560	GPL570	GSE19804				lung_cancer				1
2533	4	102210	GSM494561	GPL570	GSE19804				lung_cancer				1
2533	4	102211	GSM494562	GPL570	GSE19804				lung_cancer				1
2533	4	102212	GSM494563	GPL570	GSE19804				lung_cancer				1
2533	4	102213	GSM494564	GPL570	GSE19804				lung_cancer				1
2533	4	102214	GSM494565	GPL570	GSE19804				lung_cancer				1
2533	4	102215	GSM494566	GPL570	GSE19804				lung_cancer				1
2533	4	102216	GSM494567	GPL570	GSE19804				lung_cancer				1
2533	4	102217	GSM494568	GPL570	GSE19804				lung_cancer				1
2533	4	102218	GSM494569	GPL570	GSE19804				lung_cancer				1
2533	4	102219	GSM494570	GPL570	GSE19804				lung_cancer				1
2533	4	102220	GSM494571	GPL570	GSE19804				lung_cancer				1
2533	4	102221	GSM494572	GPL570	GSE19804				lung_cancer				1
2533	4	102222	GSM494573	GPL570	GSE19804				lung_cancer				1
2533	4	102223	GSM494574	GPL570	GSE19804				lung_cancer				1
2533	4	102224	GSM494575	GPL570	GSE19804				lung_cancer				1
2533	4	102225	GSM494576	GPL570	GSE19804				lung_cancer				1
2533	4	102226	GSM494577	GPL570	GSE19804				lung_cancer				1
2533	4	102227	GSM494578	GPL570	GSE19804				lung_cancer				1
2533	4	102228	GSM494579	GPL570	GSE19804				lung_cancer				1
2533	4	102229	GSM494580	GPL570	GSE19804				lung_cancer				1
2533	4	102230	GSM494581	GPL570	GSE19804				lung_cancer				1
2533	4	102231	GSM494582	GPL570	GSE19804				lung_cancer				1
2533	4	102232	GSM494583	GPL570	GSE19804				lung_cancer				1
2533	4	102233	GSM494584	GPL570	GSE19804				lung_cancer				1
2533	4	102234	GSM494585	GPL570	GSE19804				lung_cancer				1
2533	4	102235	GSM494586	GPL570	GSE19804				lung_cancer				1
2533	4	102236	GSM494587	GPL570	GSE19804				lung_cancer				1
2533	4	102237	GSM494588	GPL570	GSE19804				lung_cancer				1
2533	4	102238	GSM494589	GPL570	GSE19804				lung_cancer				1
2533	4	102239	GSM494590	GPL570	GSE19804				lung_cancer				1
2533	4	102240	GSM494591	GPL570	GSE19804				lung_cancer				1
2533	4	102241	GSM494592	GPL570	GSE19804				lung_cancer				1
2533	4	102242	GSM494593	GPL570	GSE19804				lung_cancer				1
2533	4	102243	GSM494594	GPL570	GSE19804				lung_cancer				1
2533	4	102244	GSM494595	GPL570	GSE19804				lung_cancer				1
2533	4	102245	GSM494596	GPL570	GSE19804				lung_cancer				1
2533	4	102246	GSM494597	GPL570	GSE19804				lung_cancer				1
2533	4	102247	GSM494598	GPL570	GSE19804				lung_cancer				1
2533	4	102248	GSM494599	GPL570	GSE19804				lung_cancer				1
2533	4	102249	GSM494600	GPL570	GSE19804				lung_cancer				1
2533	4	102250	GSM494601	GPL570	GSE19804				lung_cancer				1
2533	4	102251	GSM494602	GPL570	GSE19804				lung_cancer				1
2533	4	102252	GSM494603	GPL570	GSE19804				lung_cancer				1
2533	4	102253	GSM494604	GPL570	GSE19804				lung_cancer				1
2533	4	102254	GSM494605	GPL570	GSE19804				lung_cancer				1
2533	4	102255	GSM494606	GPL570	GSE19804				lung_cancer				1
2533	4	102256	GSM494607	GPL570	GSE19804				lung_cancer				1
2533	4	102257	GSM494608	GPL570	GSE19804				lung_cancer				1
2533	4	102258	GSM494609	GPL570	GSE19804				lung_cancer				1
2533	4	102259	GSM494610	GPL570	GSE19804				lung_cancer				1
2533	4	102260	GSM494611	GPL570	GSE19804				lung_cancer				1
2533	4	102261	GSM494612	GPL570	GSE19804				lung_cancer				1
2533	4	102262	GSM494613	GPL570	GSE19804				lung_cancer				1
2533	4	102263	GSM494614	GPL570	GSE19804				lung_cancer				1
2533	4	102264	GSM494615	GPL570	GSE19804				lung_cancer				1
2533	4	102265	GSM494616	GPL570	GSE19804					lung_cancer_control			0
2533	4	102266	GSM494617	GPL570	GSE19804					lung_cancer_control			0
2533	4	102267	GSM494618	GPL570	GSE19804					lung_cancer_control			0
2533	4	102268	GSM494619	GPL570	GSE19804					lung_cancer_control			0
