series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	eac_non_tumor	be_tissue	sample_class
6215	283	248269	GSM851983	GPL6244	GSE34619		be_tissue	1
6215	283	248270	GSM851984	GPL6244	GSE34619		be_tissue	1
6215	283	248271	GSM851985	GPL6244	GSE34619		be_tissue	1
6215	283	248272	GSM851986	GPL6244	GSE34619		be_tissue	1
6215	283	248273	GSM851987	GPL6244	GSE34619		be_tissue	1
6215	283	248274	GSM851988	GPL6244	GSE34619		be_tissue	1
6215	283	248275	GSM851989	GPL6244	GSE34619		be_tissue	1
6215	283	248276	GSM851990	GPL6244	GSE34619		be_tissue	1
6215	283	248277	GSM851991	GPL6244	GSE34619		be_tissue	1
6215	283	248278	GSM851992	GPL6244	GSE34619		be_tissue	1
6215	283	248279	GSM851993	GPL6244	GSE34619	eac_non_tumor		0
6215	283	248280	GSM851994	GPL6244	GSE34619	eac_non_tumor		0
6215	283	248281	GSM851995	GPL6244	GSE34619	eac_non_tumor		0
6215	283	248282	GSM851996	GPL6244	GSE34619	eac_non_tumor		0
6215	283	248283	GSM851997	GPL6244	GSE34619	eac_non_tumor		0
6215	283	248284	GSM851998	GPL6244	GSE34619	eac_non_tumor		0
6215	283	248285	GSM851999	GPL6244	GSE34619	eac_non_tumor		0
6215	283	248286	GSM852000	GPL6244	GSE34619	eac_non_tumor		0
6608	9	263718	GSM884169	GPL571	GSE36223	eac_non_tumor		0
6608	9	263719	GSM884170	GPL571	GSE36223	eac_non_tumor		0
6608	9	263720	GSM884171	GPL571	GSE36223	eac_non_tumor		0
6608	9	263721	GSM884172	GPL571	GSE36223	eac_non_tumor		0
6608	9	263722	GSM884173	GPL571	GSE36223	eac_non_tumor		0
6608	9	263723	GSM884174	GPL571	GSE36223	eac_non_tumor		0
6608	9	263724	GSM884175	GPL571	GSE36223	eac_non_tumor		0
6608	9	263725	GSM884176	GPL571	GSE36223	eac_non_tumor		0
6608	9	263726	GSM884177	GPL571	GSE36223	eac_non_tumor		0
6608	9	263727	GSM884178	GPL571	GSE36223	eac_non_tumor		0
6608	9	263728	GSM884179	GPL571	GSE36223	eac_non_tumor		0
6608	9	263729	GSM884180	GPL571	GSE36223	eac_non_tumor		0
6608	9	263730	GSM884181	GPL571	GSE36223	eac_non_tumor		0
6608	9	263731	GSM884182	GPL571	GSE36223	eac_non_tumor		0
6608	9	263732	GSM884183	GPL571	GSE36223	eac_non_tumor		0
6608	9	263733	GSM884184	GPL571	GSE36223	eac_non_tumor		0
6608	9	263734	GSM884185	GPL571	GSE36223	eac_non_tumor		0
6608	9	263735	GSM884186	GPL571	GSE36223	eac_non_tumor		0
6608	9	263736	GSM884187	GPL571	GSE36223	eac_non_tumor		0
6608	9	263737	GSM884188	GPL571	GSE36223	eac_non_tumor		0
6608	9	263738	GSM884189	GPL571	GSE36223	eac_non_tumor		0
6608	9	263739	GSM884190	GPL571	GSE36223	eac_non_tumor		0
6608	9	263740	GSM884191	GPL571	GSE36223	eac_non_tumor		0
6608	9	263741	GSM884192	GPL571	GSE36223		be_tissue	1
6608	9	263742	GSM884193	GPL571	GSE36223		be_tissue	1
6608	9	263743	GSM884194	GPL571	GSE36223		be_tissue	1
6608	9	263744	GSM884195	GPL571	GSE36223		be_tissue	1
6608	9	263745	GSM884196	GPL571	GSE36223		be_tissue	1
6608	9	263746	GSM884197	GPL571	GSE36223		be_tissue	1
6608	9	263747	GSM884198	GPL571	GSE36223		be_tissue	1
6608	9	263748	GSM884199	GPL571	GSE36223		be_tissue	1
6608	9	263749	GSM884200	GPL571	GSE36223		be_tissue	1
6608	9	263750	GSM884201	GPL571	GSE36223		be_tissue	1
6608	9	263751	GSM884202	GPL571	GSE36223		be_tissue	1
6608	9	263752	GSM884203	GPL571	GSE36223		be_tissue	1
6608	9	263753	GSM884204	GPL571	GSE36223		be_tissue	1
6608	9	263754	GSM884205	GPL571	GSE36223		be_tissue	1
6608	9	263755	GSM884206	GPL571	GSE36223		be_tissue	1
6608	9	263756	GSM884207	GPL571	GSE36223		be_tissue	1
6608	9	263757	GSM884208	GPL571	GSE36223		be_tissue	1
6608	9	263758	GSM884209	GPL571	GSE36223		be_tissue	1
6608	9	263759	GSM884210	GPL571	GSE36223		be_tissue	1
6608	9	263760	GSM884211	GPL571	GSE36223		be_tissue	1
6608	9	263761	GSM884212	GPL571	GSE36223		be_tissue	1
6608	9	263762	GSM884213	GPL571	GSE36223		be_tissue	1
6608	9	263763	GSM884214	GPL571	GSE36223		be_tissue	1
7332	9	293014	GSM969968	GPL571	GSE39491		be_tissue	1
7332	9	293015	GSM969969	GPL571	GSE39491	eac_non_tumor		0
7332	9	293017	GSM969971	GPL571	GSE39491		be_tissue	1
7332	9	293018	GSM969972	GPL571	GSE39491	eac_non_tumor		0
7332	9	293020	GSM969982	GPL571	GSE39491		be_tissue	1
7332	9	293021	GSM969983	GPL571	GSE39491	eac_non_tumor		0
7332	9	293023	GSM969985	GPL571	GSE39491		be_tissue	1
7332	9	293024	GSM969986	GPL571	GSE39491	eac_non_tumor		0
7332	9	293026	GSM969993	GPL571	GSE39491		be_tissue	1
7332	9	293027	GSM969994	GPL571	GSE39491	eac_non_tumor		0
7332	9	293029	GSM969996	GPL571	GSE39491		be_tissue	1
7332	9	293030	GSM969997	GPL571	GSE39491	eac_non_tumor		0
7332	9	293032	GSM970003	GPL571	GSE39491		be_tissue	1
7332	9	293033	GSM970004	GPL571	GSE39491	eac_non_tumor		0
7332	9	293035	GSM970010	GPL571	GSE39491		be_tissue	1
7332	9	293036	GSM970011	GPL571	GSE39491	eac_non_tumor		0
7332	9	293038	GSM970013	GPL571	GSE39491		be_tissue	1
7332	9	293039	GSM970014	GPL571	GSE39491	eac_non_tumor		0
7332	9	293041	GSM970018	GPL571	GSE39491		be_tissue	1
7332	9	293042	GSM970019	GPL571	GSE39491	eac_non_tumor		0
